time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0.239,0.46586099999999997,0.885199,1.80992,-6.48723,6.21081
0,0.239,0.46786099999999997,0.885199,1.8096,-6.38192,6.28675
0,0.239,0.469861,0.885199,1.79947,-6.24648,6.35041
0,0.239,0.471861,0.885199,1.89759,-6.19964,6.50442
0,0.239,0.473861,0.885199,1.90696,-6.09307,6.57665
0,0.239,0.475861,0.885199,1.88912,-5.94455,6.57953
0,0.239,0.477861,0.885199,1.86427,-5.79744,6.58433
0,0.239,0.479861,0.885199,1.82132,-5.63909,6.54673
0,0.239,0.48186099999999993,0.885199,1.79959,-5.49705,6.52639
0,0.239,0.48386099999999993,0.885199,1.7895,-5.35546,6.49143
0,0.239,0.48586099999999993,0.885199,1.78378,-5.27671,6.49978
0,0.239,0.48786099999999993,0.885199,1.78652,-5.1847,6.52505
0,0.239,0.48986099999999994,0.885199,1.80451,-5.12163,6.57157
0,0.239,0.49186099999999994,0.885199,1.84256,-5.11358,6.62424
0,0.239,0.49386099999999994,0.885199,1.87353,-5.11138,6.69398
0,0.239,0.49586099999999994,0.885199,1.90412,-5.11827,6.77797
0,0.239,0.49786099999999994,0.885199,1.9092,-5.0928,6.82796
0,0.239,0.49986099999999994,0.885199,1.92266,-5.06527,6.88894
0,0.239,0.5018609999999999,0.885199,1.9149,-5.02066,6.91195
0,0.239,0.5038609999999999,0.885199,1.886,-4.92284,6.91603
0,0.239,0.5058609999999999,0.885199,1.85378,-4.8325,6.9011
0,0.239,0.5078609999999999,0.885199,1.78902,-4.68711,6.80763
0,0.239,0.5098609999999999,0.885199,1.72306,-4.5426,6.73576
0,0.239,0.5118609999999999,0.885199,1.6671,-4.3782,6.67996
0,0.239,0.5138609999999999,0.885199,1.63781,-4.26356,6.67845
0,0.239,0.5158609999999999,0.885199,1.61972,-4.15176,6.74155
0,0.239,0.5178609999999999,0.885199,1.64725,-4.09321,6.82931
0,0.239,0.5198609999999999,0.885199,1.64516,-3.98523,6.84779
0,0.239,0.5218609999999999,0.885199,1.64749,-3.86818,6.80317
0,0.239,0.5238609999999999,0.885199,1.65189,-3.72776,6.78595
0,0.239,0.5258609999999999,0.885199,1.63268,-3.55122,6.70352
0,0.239,0.5278609999999999,0.885199,1.62258,-3.39238,6.66769
0,0.239,0.5298609999999999,0.885199,1.64073,-3.22186,6.70474
0,0.239,0.5318609999999999,0.885199,1.6944,-3.0999,6.8501
0,0.239,0.5338609999999999,0.885199,1.71532,-2.97824,6.97003
0,0.239,0.5358609999999999,0.885199,1.73228,-2.8646,7.14661
0,0.239,0.5378609999999999,0.885199,1.77484,-2.77903,7.38545
0,0.239,0.5398609999999999,0.885199,1.77577,-2.68339,7.45134
0,0.239,0.5418609999999999,0.885199,1.79064,-2.55004,7.39855
0,0.239,0.5438609999999999,0.885199,1.77963,-2.43018,7.29623
0,0.239,0.5458609999999999,0.885199,1.75955,-2.28439,7.25131
0,0.239,0.5478609999999999,0.885199,1.77012,-2.11886,7.25608
0,0.239,0.5498609999999999,0.885199,1.84783,-1.97639,7.41896
0,0.239,0.5518609999999999,0.885199,1.88317,-1.83103,7.48966
0,0.239,0.5538609999999999,0.885199,1.94209,-1.66884,7.65
0,0.239,0.5558609999999999,0.885199,1.98753,-1.45819,7.8262
0,0.239,0.5578609999999999,0.885199,2.03369,-1.3024,8.03402
0,0.239,0.5598609999999999,0.885199,2.09227,-1.12328,8.26987
0,0.239,0.5618609999999999,0.885199,2.12263,-0.917623,8.4019
0,0.239,0.563861,0.885199,2.15762,-0.689824,8.51213
