time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0.042,-0.0114,-0.0042,15.1166,-7.7399,-3.20037
0,0.042,-0.0114,-0.0036,15.2226,-7.78937,-2.76866
0,0.042,-0.012,-0.0042,14.951,-7.95024,-3.18277
0,0.042,-0.0108,-0.0042,15.2638,-7.50665,-3.23066
0,0.042,-0.0114,-0.0048,15.0567,-7.62175,-3.55256
0,0.042,-0.0132,0.0012,14.5666,-8.7528,0.403438
0,0.042,0.012,0.003,15.0741,8.04697,2.33038
0,0.042,0.0114,0.003,15.2267,7.87336,2.36924
0,0.042,-0.0108,-0.0036,15.3973,-7.62642,-2.83864
0,0.042,0.0132,0.003,14.7206,8.5916,2.26829
0,0.042,-0.012,-0.0048,14.9427,-7.87768,-3.45207
0,0.042,0.0012,-0.0126,15.2447,1.18644,-8.54924
0,0.042,-0.0132,0.0006,14.5795,-8.75223,-0.0183546
0,0.042,0.0018,-0.0132,15.0508,1.58157,-8.76216
0,0.042,0.0018,-0.0126,15.224,1.56671,-8.52524
0,0.042,0.0132,0.0018,14.6164,8.5705,1.49024
0,0.042,-0.012,-0.0024,14.9956,-8.14838,-2.00074
0,0.042,-0.0138,0.0012,14.4306,-8.89248,0.395618
0,0.042,-0.0126,0.0006,14.8472,-8.54895,0.00302643
0,0.042,-0.012,-0.0036,14.9899,-8.03523,-2.71609
0,0.042,0.0066,-0.0126,14.675,4.47807,-7.89636
0,0.042,0.012,0.0036,15.0388,8.06044,2.72677
0,0.042,0.0132,0.0036,14.6698,8.55306,2.60846
0,0.042,0.0126,0.0036,14.8404,8.2902,2.66176
0,0.042,-0.0138,0.0006,14.4133,-8.86356,-0.0301256
0,0.042,-0.0126,-0.0042,14.8113,-8.16945,-3.08105
0,0.042,-0.0102,-0.0048,15.2808,-7.12292,-3.69881
0,0.042,-0.009,0.0096,14.8224,-6.208,6.19179
0,0.042,0.0018,-0.012,15.3635,1.61509,-8.24982
0,0.042,-0.0114,-0.003,15.2928,-7.858,-2.38468
0,0.042,-0.0126,0.0012,14.8025,-8.55593,0.428672
0,0.042,-0.012,0.0006,15.0488,-8.33419,0.0382427
0,0.042,-0.0096,-0.0036,15.5846,-7.17884,-2.99198
0,0.042,-0.0126,-0.0036,14.7834,-8.2442,-2.68005
